Date,Site Hierarchy,Distribution Channel,EAN,UPC,Article Variant,Full / Reduced Price,Sales (Units),Sales Revenue Inc Vat
7/29/2023,E-Commerce (4501),DIRECT,5059595903406,5014644,000000022567782006,Full Price,1.00,69.00
7/29/2023,E-Commerce (4501),DIRECT,5059595903918,5023912,000000022567815004,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595905059,5087716,000000022567789004,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595913689,24002929,000000022565161005,Full Price,-1.00,-79.00
7/29/2023,E-Commerce (4501),DIRECT,5059595924982,4862307,000000022568431003,Full Price,1.00,89.00
7/29/2023,E-Commerce (4501),DIRECT,5059595931089,4713470,000000022567003004,Full Price,-1.00,-39.00
7/29/2023,E-Commerce (4501),DIRECT,5059595931195,4755517,000000022567004005,Full Price,-1.00,-39.00
7/29/2023,E-Commerce (4501),DIRECT,5059595944294,23970823,000000022564928006,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595944300,23970830,000000022564928007,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595944324,23970861,000000022564930003,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595944348,23970878,000000022564930004,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5059595944379,23970908,000000022564930007,Full Price,1.00,45.00
7/29/2023,E-Commerce (4501),DIRECT,5063013011727,7171994,000000022569682004,Full Price,1.00,69.00
7/29/2023,E-Commerce (4501),DIRECT,5063013057916,4990581,000000022567775002,Full Price,1.00,169.00
7/29/2023,E-Commerce (4501),DIRECT,5063013109929,5806171,000000022570827005,Full Price,1.00,39.00
7/29/2023,UPPER RD BELFAST SF (8947),SHOP YOUR WAY,5059595944102,23970717,000000022564931002,Full Price,1.00,45.00
7/29/2023,UPPER RD BELFAST SF (8947),SHOP YOUR WAY,5059595944263,23970786,000000022564928002,Full Price,1.00,45.00
7/29/2023,MAIDENHEAD (1070),SHOP YOUR WAY,5054409525690,24622523,000000022560207005,Full Price,1.00,29.00
7/29/2023,MAIDENHEAD (1070),SHOP YOUR WAY,5059595744320,24384872,000000022562889003,Full Price,1.00,22.00
7/29/2023,VANGARDE MONKS (1292),SHOP YOUR WAY,5059595754800,24626132,000000022560103002,Reduced,-1.00,-32.00
7/29/2023,VANGARDE MONKS (1292),SHOP YOUR WAY,5059595849834,24383295,000000022562733007,Full Price,1.00,65.00
7/29/2023,TRAFFORD CENTRE (4598),SHOP YOUR WAY,5059595737049,24616195,000000022560217004,Reduced,-1.00,-51.00
7/29/2023,TRAFFORD CENTRE (4598),SHOP YOUR WAY,5059595764793,24626729,000000022560541003,Reduced,-1.00,-49.00
7/29/2023,LYTHAM ST ANNES SF (2312),SHOP YOUR WAY,5059595753926,20452292,000000022562678003,Full Price,1.00,69.00
7/29/2023,LYTHAM ST ANNES SF (2312),SHOP YOUR WAY,5059595761259,24602464,000000022559855002,Reduced,-1.00,-58.00
7/29/2023,LOUGHTON SF (9124),SHOP YOUR WAY,5059595858508,24383530,000000022562801006,Full Price,1.00,16.00
7/29/2023,HAMILTON RETAIL PARK (1590),SHOP YOUR WAY,5059595876748,7048012,000000022566692004,Full Price,1.00,29.00
7/29/2023,HEMPSTEAD VALLEY. (2752),SHOP YOUR WAY,5054409971114,24612722,000000022560034004,Full Price,1.00,99.00
7/29/2023,MAYBIRD STRATFORD U AVON SF (0214),SHOP YOUR WAY,5059595900009,24382014,000000022562737003,Full Price,1.00,55.00
7/29/2023,MAYFLOWER BASILDON (1146),SHOP YOUR WAY,5059595669319,24623698,000000022560088003,Reduced,1.00,38.00
7/29/2023,MAYFLOWER BASILDON (1146),SHOP YOUR WAY,5059595786245,24616706,000000022559984003,Reduced,1.00,33.00
7/29/2023,MAYFLOWER BASILDON (1146),SHOP YOUR WAY,5059595820185,24605434,000000022559858005,Reduced,1.00,45.00
7/29/2023,MAYFLOWER BASILDON (1146),SHOP YOUR WAY,5059595830856,23887787,000000022562555005,Reduced,1.00,45.00
7/29/2023,STAMFORD SF (2833),SHOP YOUR WAY,5054409525621,24621540,000000022560107005,Full Price,-1.00,-29.00
7/29/2023,STAMFORD SF (2833),SHOP YOUR WAY,5059595759164,24613439,000000022559993002,Reduced,1.00,94.00
7/29/2023,CLAPHAM SOUTH SF (6800),SHOP YOUR WAY,5059595839231,24618113,000000022560042003,Full Price,1.00,65.00
7/29/2023,CHESHUNT (0097),SHOP YOUR WAY,5054409930456,24623124,000000022560287004,Full Price,1.00,40.00
7/29/2023,CHESHUNT (0097),SHOP YOUR WAY,5054409930494,24624596,000000022560290004,Full Price,1.00,40.00
7/29/2023,CHESHUNT (0097),SHOP YOUR WAY,5054409930616,24628099,000000022560285004,Full Price,1.00,40.00
7/29/2023,CHESHUNT (0097),SHOP YOUR WAY,5059595755630,24617086,000000022560062005,Reduced,1.00,38.00
7/29/2023,CHESHUNT (0097),SHOP YOUR WAY,5059595830849,23887770,000000022562555004,Reduced,-1.00,-45.00
7/29/2023,KENDAL (2008),SHOP YOUR WAY,5054409623440,24551298,000000022560056007,Full Price,1.00,65.00
7/29/2023,HESWALL SF (5827),SHOP YOUR WAY,5054409623440,24551298,000000022560056007,Full Price,1.00,65.00
7/29/2023,OADBY SF (6237),SHOP YOUR WAY,5054409525690,24622523,000000022560207005,Full Price,1.00,29.00
7/29/2023,BEXLEYHEATH (3191),SHOP YOUR WAY,5059595783657,23949683,000000022563817004,Full Price,-1.00,-79.00
7/29/2023,LONGWELL GREEN BRISTOL (0254),SHOP YOUR WAY,5059595184645,24620628,000000022561083005,Full Price,1.00,22.00
7/29/2023,ENFIELD (3214),SHOP YOUR WAY,5059595762362,23885691,000000022562553004,Reduced,1.00,45.00
7/29/2023,HAYLE (6127),SHOP YOUR WAY,5059595455950,24104975,000000022560090009,Full Price,-1.00,-47.50
7/29/2023,DOUGLAS (5429),SHOP YOUR WAY,5059595438007,24617673,000000022560058002,Reduced,1.00,42.00
7/29/2023,DOUGLAS (5429),SHOP YOUR WAY,5059595748779,24629096,000000022560333006,Full Price,1.00,45.00
7/29/2023,BURTON (1096),SHOP YOUR WAY,5059595229278,24629867,000000022560097005,Full Price,1.00,55.00
7/29/2023,BURTON (1096),SHOP YOUR WAY,5059595822950,24001656,000000022565208004,Full Price,1.00,42.00
7/29/2023,EALING BROADWAY (2613),SHOP YOUR WAY,5059595900023,24383271,000000022562737004,Full Price,-1.00,-55.00
7/29/2023,BROADSTONE (0778),SHOP YOUR WAY,5054409668007,24605472,000000022559863002,Reduced,1.00,33.00
7/29/2023,UDDINGSTON (1937),SHOP YOUR WAY,5059595849827,24382762,000000022562733006,Full Price,1.00,65.00
7/29/2023,M - S Direct (Warrington Grang (6185),DIRECT,5059595853404,24003407,000000022565240005,Full Price,1.00,22.00
7/29/2023,EVESHAM SF (1255),SHOP YOUR WAY,5059595813941,24614795,000000022560029004,Reduced,1.00,35.00
7/29/2023,EVESHAM SF (1255),SHOP YOUR WAY,5059595841562,24001557,000000022565157001,Full Price,1.00,39.00
7/29/2023,WHETSTONE SF (6457),SHOP YOUR WAY,5054409404339,24622929,000000022560208005,Full Price,1.00,55.00
7/29/2023,WHETSTONE SF (6457),SHOP YOUR WAY,5059595860754,7123269,000000022566790005,Full Price,1.00,69.00
7/29/2023,WHETSTONE SF (6457),SHOP YOUR WAY,5059595894735,23949874,000000022563825002,Full Price,-1.00,-59.00
7/29/2023,EPSOM (3227),SHOP YOUR WAY,5059595759164,24613439,000000022559993002,Reduced,-1.00,-94.00
7/29/2023,INTERCHANGE BEDFORD (1459),SHOP YOUR WAY,5059595759249,24386135,000000022562738003,Full Price,-1.00,-79.00
7/29/2023,LONDON COLNEY (4734),SHOP YOUR WAY,5059595691099,24145725,000000022561517009,Full Price,1.00,65.00
7/29/2023,LONDON COLNEY (4734),SHOP YOUR WAY,5059595758570,24623643,000000022560259005,Reduced,1.00,30.00
7/29/2023,DEEPDALE PRESTON (5115),SHOP YOUR WAY,5059595840602,21534584,000000022563815004,Reduced,-1.00,-55.00
7/29/2023,PENRITH (1888),SHOP YOUR WAY,5059595792123,24613323,000000022560214004,Full Price,1.00,49.00
7/29/2023,KINGS RD (2561),SHOP YOUR WAY,5059595792055,24613347,000000022560214006,Full Price,-1.00,-49.00
7/29/2023,NOTTINGHAM (0644),SHOP YOUR WAY,5059595049005,24613248,000000022560243003,Full Price,1.00,22.00
7/29/2023,NOTTINGHAM (0644),SHOP YOUR WAY,5059595124948,24615594,000000022560215003,Full Price,1.00,22.00
7/29/2023,NOTTINGHAM (0644),SHOP YOUR WAY,5059595744757,23885547,000000022563971003,Reduced,1.00,14.00
7/29/2023,NOTTINGHAM (0644),SHOP YOUR WAY,5059595745037,24384667,000000022563851003,Full Price,1.00,22.00
7/29/2023,NOTTINGHAM (0644),SHOP YOUR WAY,5059595758464,24624893,000000022560258003,Reduced,1.00,33.00
7/29/2023,NOTTINGHAM (0644),SHOP YOUR WAY,5059595758464,24624893,000000022560258003,Reduced,-1.00,-33.00
7/29/2023,LIVINGSTON (0108),SHOP YOUR WAY,5059595758495,24624954,000000022560258006,Reduced,1.00,33.00
7/29/2023,BANGOR NI (3777),SHOP YOUR WAY,5059595805199,24626873,000000022560220004,Reduced,1.00,33.00
